"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 15, 2019","3.0010","3.0005","3.0005","3.0005","0.04K","-0.13%"
"Apr 12, 2019","3.0050","3.0045","3.0045","3.0045","0.01K","1.69%"
"Apr 11, 2019","2.9550","2.9545","2.9545","2.9545","0.00K","-1.24%"
"Apr 10, 2019","2.9920","2.9915","2.9915","2.9915","0.03K","-0.07%"
"Apr 09, 2019","2.9940","2.9935","2.9935","2.9935","0.04K","0.22%"
"Apr 08, 2019","2.9875","2.9870","2.9870","2.9870","0.04K","1.43%"
"Apr 05, 2019","2.9455","2.9450","2.9450","2.9450","0.02K","-0.37%"
"Apr 04, 2019","2.9565","2.9560","2.9560","2.9560","0.07K","-1.17%"
"Apr 03, 2019","2.9915","2.9910","2.9910","2.9910","0.01K","1.30%"
"Apr 02, 2019","2.9530","2.9525","2.9525","2.9525","0.01K","-0.44%"
"Apr 01, 2019","2.9660","2.9655","2.9655","2.9655","0.03K","-0.30%"
"Mar 29, 2019","2.9750","2.9745","2.9745","2.9745","0.01K","2.01%"
"Mar 28, 2019","2.9165","2.9160","2.9160","2.9160","0.12K","0.33%"
"Mar 27, 2019","2.9070","2.9065","2.9065","2.9065","0.01K","0.21%"
"Mar 26, 2019","2.9010","2.9005","2.9005","2.9005","0.08K","-0.34%"
"Mar 25, 2019","2.9110","2.9105","2.9105","2.9105","0.00K","0.48%"
"Mar 22, 2019","2.8970","2.8965","2.8965","2.8965","0.01K","-1.98%"
"Mar 21, 2019","2.9555","2.9550","2.9550","2.9550","0.02K","-0.47%"
"Mar 20, 2019","2.9695","2.9690","2.9690","2.9690","0.09K","0.10%"
"Mar 19, 2019","2.9665","2.9660","2.9660","2.9660","0.00K","0.47%"
"Mar 18, 2019","2.9525","2.9520","2.9520","2.9520","0.05K","0.14%"
"Mar 15, 2019","2.9485","2.9480","2.9480","2.9480","0.03K","0.70%"
"Mar 14, 2019","2.9280","2.9275","2.9275","2.9275","0.10K","-1.36%"
"Mar 13, 2019","2.9685","2.9680","2.9680","2.9680","0.11K","0.19%"
"Mar 12, 2019","2.9630","2.9625","2.9625","2.9625","0.03K","0.94%"
"Mar 11, 2019","2.9355","2.9350","2.9350","2.9350","0.19K","0.19%"
"Mar 08, 2019","2.9300","2.9295","2.9295","2.9295","0.08K","-0.69%"
"Mar 07, 2019","2.9505","2.9500","2.9500","2.9500","0.07K","-0.19%"
"Mar 06, 2019","2.9560","2.9555","2.9555","2.9555","0.11K","-0.34%"
"Mar 05, 2019","2.9660","2.9655","2.9655","2.9655","0.03K","0.73%"
"Mar 04, 2019","2.9445","2.9440","2.9440","2.9440","0.07K","-0.66%"
"Mar 01, 2019","2.9640","2.9635","2.9635","2.9635","0.00K","-0.57%"
"Feb 28, 2019","2.9810","2.9805","2.9805","2.9805","0.19K","-0.37%"
"Feb 27, 2019","2.9920","2.9915","2.9915","2.9915","0.52K","0.42%"
"Feb 26, 2019","2.9795","2.9790","2.9790","2.9790","0.21K","0.25%"
"Feb 25, 2019","2.9720","2.9715","2.9715","2.9715","0.01K","0.02%"
"Feb 22, 2019","2.9715","2.9710","2.9710","2.9710","0.00K","1.40%"
"Feb 21, 2019","2.9305","2.9300","2.9300","2.9300","0.00K","-0.41%"
"Feb 20, 2019","2.9425","2.9420","2.9420","2.9420","0.02K","1.17%"
"Feb 19, 2019","2.9085","2.9080","2.9080","2.9080","0.03K","2.48%"
"Feb 18, 2019","2.8380","2.8160","2.8480","2.8030","-","0.78%"
"Feb 17, 2019","2.8160","2.8150","2.8170","2.8110","-","-0.90%"
"Feb 15, 2019","2.8415","2.8410","2.8410","2.8410","0.00K","0.82%"
"Feb 14, 2019","2.8185","2.8180","2.8180","2.8180","0.01K","0.27%"
"Feb 13, 2019","2.8110","2.8105","2.8105","2.8105","0.04K","-0.12%"
"Feb 12, 2019","2.8145","2.8140","2.8140","2.8140","0.01K","-0.64%"
"Feb 11, 2019","2.8325","2.8320","2.8320","2.8320","0.31K","-1.01%"
"Feb 08, 2019","2.8615","2.8610","2.8610","2.8610","0.01K","-0.52%"
"Feb 07, 2019","2.8765","2.8760","2.8760","2.8760","0.03K","0.00%"
"Feb 06, 2019","2.8765","2.8760","2.8760","2.8760","0.23K","0.47%"
"Feb 05, 2019","2.8630","2.8625","2.8625","2.8625","0.06K","0.77%"
"Feb 04, 2019","2.8410","2.8405","2.8405","2.8405","0.01K","0.58%"
"Feb 01, 2019","2.8245","2.8240","2.8240","2.8240","0.02K","-0.35%"
"Jan 31, 2019","2.8345","2.8340","2.8340","2.8340","0.01K","0.51%"
"Jan 30, 2019","2.8200","2.8195","2.8195","2.8195","0.04K","1.42%"
"Jan 29, 2019","2.7805","2.7800","2.7800","2.7800","0.01K","1.53%"
"Jan 28, 2019","2.7385","2.7380","2.7380","2.7380","0.07K","-1.51%"
"Jan 25, 2019","2.7805","2.7800","2.7800","2.7800","0.02K","2.60%"
"Jan 24, 2019","2.7100","2.7095","2.7095","2.7095","0.01K","-0.37%"
"Jan 23, 2019","2.7200","2.7195","2.7195","2.7195","0.01K","0.00%"
"Jan 22, 2019","2.7200","2.7195","2.7195","2.7195","0.02K","1.42%"
"Jan 21, 2019","2.6820","2.7090","2.7100","2.6750","-","-1.00%"
"Jan 20, 2019","2.7090","2.7120","2.7160","2.7090","-","-1.97%"
"Jan 18, 2019","2.7635","2.7630","2.7630","2.7630","0.01K","1.08%"
"Jan 17, 2019","2.7340","2.7335","2.7335","2.7335","0.00K","0.53%"
"Jan 16, 2019","2.7195","2.7190","2.7190","2.7190","0.01K","1.06%"
"Jan 15, 2019","2.6910","2.6905","2.6905","2.6905","0.01K","-0.48%"
"Jan 14, 2019","2.7040","2.7035","2.7035","2.7035","0.02K","-1.01%"
"Jan 11, 2019","2.7315","2.7310","2.7310","2.7310","0.01K","0.94%"
"Jan 10, 2019","2.7060","2.7055","2.7055","2.7055","0.02K","-0.68%"
"Jan 09, 2019","2.7245","2.7240","2.7240","2.7240","0.05K","0.09%"
"Jan 08, 2019","2.7220","2.7215","2.7215","2.7215","0.04K","0.93%"
"Jan 07, 2019","2.6970","2.6965","2.6965","2.6965","0.00K","-0.42%"
"Jan 04, 2019","2.7085","2.7080","2.7080","2.7080","0.05K","2.73%"
"Jan 03, 2019","2.6365","2.6360","2.6360","2.6360","0.00K","-1.57%"
"Jan 02, 2019","2.6785","2.6780","2.6780","2.6780","0.01K","1.00%"
"Jan 01, 2019","2.6520","2.6430","2.6540","2.6380","-","-0.86%"
"Dec 31, 2018","2.6750","2.6745","2.6745","2.6745","0.04K","-1.44%"
"Dec 28, 2018","2.7140","2.7135","2.7135","2.7135","0.01K","-0.35%"
"Dec 27, 2018","2.7235","2.7230","2.7230","2.7230","0.02K","-0.55%"
"Dec 26, 2018","2.7385","2.7380","2.7380","2.7380","0.02K","2.91%"
"Dec 25, 2018","2.6610","2.6640","2.6710","2.6490","-","-1.35%"
"Dec 24, 2018","2.6975","2.6970","2.6970","2.6970","0.20K","-0.26%"
"Dec 21, 2018","2.7045","2.7040","2.7040","2.7040","0.00K","-0.99%"
"Dec 20, 2018","2.7315","2.7310","2.7310","2.7310","0.02K","-0.44%"
"Dec 19, 2018","2.7435","2.7430","2.7430","2.7430","0.02K","1.71%"
"Dec 18, 2018","2.6975","2.6970","2.6970","2.6970","0.03K","-3.32%"
"Dec 17, 2018","2.7900","2.7895","2.7895","2.7895","0.01K","-0.04%"
"Dec 14, 2018","2.7910","2.7905","2.7905","2.7905","0.01K","0.27%"
"Dec 13, 2018","2.7835","2.7830","2.7830","2.7830","0.02K","-0.05%"
"Dec 12, 2018","2.7850","2.7845","2.7845","2.7845","0.01K","-0.32%"
"Dec 11, 2018","2.7940","2.7935","2.7935","2.7935","0.16K","0.98%"
"Dec 10, 2018","2.7670","2.7665","2.7665","2.7665","0.01K","-1.25%"
"Dec 07, 2018","2.8020","2.8015","2.8015","2.8015","0.01K","0.25%"
"Dec 06, 2018","2.7950","2.7945","2.7945","2.7945","0.02K","-1.10%"
"Dec 05, 2018","2.8260","2.8255","2.8255","2.8255","0.00K","0.28%"
"Dec 04, 2018","2.8180","2.8175","2.8175","2.8175","0.01K","-1.04%"
"Dec 03, 2018","2.8475","2.8470","2.8470","2.8470","0.00K","0.99%"
"Nov 30, 2018","2.8195","2.8190","2.8190","2.8190","0.00K","-0.27%"
"Nov 29, 2018","2.8270","2.8265","2.8265","2.8265","0.15K","-0.56%"
"Nov 28, 2018","2.8430","2.8425","2.8425","2.8425","0.01K","2.82%"
"Nov 27, 2018","2.7650","2.7645","2.7645","2.7645","0.01K","-1.44%"
"Nov 26, 2018","2.8055","2.8050","2.8050","2.8050","0.02K","-0.25%"
"Nov 23, 2018","2.8125","2.8120","2.8120","2.8120","0.01K","0.52%"
"Nov 22, 2018","2.7980","2.7830","2.8010","2.7720","-","-0.67%"
"Nov 21, 2018","2.8170","2.8165","2.8165","2.8165","0.22K","0.88%"
"Nov 20, 2018","2.7925","2.7920","2.7920","2.7920","0.05K","-0.45%"
"Nov 19, 2018","2.8050","2.8045","2.8045","2.8045","0.01K","-1.11%"
"Nov 16, 2018","2.8365","2.8360","2.8360","2.8360","0.03K","0.66%"
"Nov 15, 2018","2.8180","2.8175","2.8175","2.8175","0.00K","0.93%"
"Nov 14, 2018","2.7920","2.7915","2.7915","2.7915","0.32K","0.54%"
"Nov 13, 2018","2.7770","2.7765","2.7765","2.7765","0.02K","0.62%"
"Nov 12, 2018","2.7600","2.7595","2.7595","2.7595","1.07K","-0.22%"
"Nov 09, 2018","2.7660","2.7655","2.7655","2.7655","0.00K","-2.14%"
"Nov 08, 2018","2.8265","2.8260","2.8260","2.8260","0.01K","-0.56%"
"Nov 07, 2018","2.8425","2.8420","2.8420","2.8420","0.00K","0.74%"
"Nov 06, 2018","2.8215","2.8210","2.8210","2.8210","0.01K","-0.83%"
"Nov 05, 2018","2.8450","2.8445","2.8445","2.8445","0.05K","-1.57%"
"Nov 02, 2018","2.8905","2.8900","2.8900","2.8900","0.01K","2.83%"
"Nov 01, 2018","2.8110","2.8105","2.8105","2.8105","0.13K","2.18%"
"Oct 31, 2018","2.7510","2.7505","2.7505","2.7505","0.01K","-0.24%"
"Oct 30, 2018","2.7575","2.7570","2.7570","2.7570","0.18K","-2.70%"
"Oct 29, 2018","2.8340","2.8335","2.8335","2.8335","0.00K","0.16%"
"Oct 26, 2018","2.8295","2.8290","2.8290","2.8290","0.08K","-0.74%"
"Oct 25, 2018","2.8505","2.8500","2.8500","2.8500","0.01K","-0.18%"
"Oct 24, 2018","2.8555","2.8550","2.8550","2.8550","0.03K","-0.07%"
"Oct 23, 2018","2.8575","2.8570","2.8570","2.8570","0.03K","-0.64%"
"Oct 22, 2018","2.8760","2.8755","2.8755","2.8755","0.00K","0.24%"
"Oct 19, 2018","2.8690","2.8685","2.8685","2.8685","0.10K","0.95%"
"Oct 18, 2018","2.8420","2.8415","2.8415","2.8415","0.00K","-0.80%"
